UniqueID,StreamSide,StreamDistance,DownStream,SubDownStream,Elevation,DepthBin,Mortality,Sizemm,Sediment4000,Sediment2000,Sediment500,Sediment250,Sediment125,Sediment63,Sediment0,
S2 90-9,S,2,90,9,2.01,15,Z,,0.6723,0.1732,0.1235,0.0232,0.0064,0.0011,0.0003,
S2 90-9,S,2,90,9,2.01,10,A,34.52,0.6723,0.1732,0.1235,0.0232,0.0064,0.0011,0.0003,
S2 90-9,S,2,90,9,2.01,10,D,,0.6723,0.1732,0.1235,0.0232,0.0064,0.0011,0.0003,
S2 90-9,S,2,90,9,2.01,10,D,,0.6723,0.1732,0.1235,0.0232,0.0064,0.0011,0.0003,
S2 100-0,S,2,100,0,1.94,0,Z,,0.561,0.1983,0.1929,0.0373,0.0086,0.0016,0.0003,
S2 100-0,S,2,100,0,1.94,5,Z,,0.561,0.1983,0.1929,0.0373,0.0086,0.0016,0.0003,
S2 100-0,S,2,100,0,1.94,10,A,14.36,0.561,0.1983,0.1929,0.0373,0.0086,0.0016,0.0003,
S2 100-0,S,2,100,0,1.94,10,D,,0.561,0.1983,0.1929,0.0373,0.0086,0.0016,0.0003,
S2 100-0,S,2,100,0,1.94,10,D,,0.561,0.1983,0.1929,0.0373,0.0086,0.0016,0.0003,
S2 100-0,S,2,100,0,1.94,15,Z,,0.561,0.1983,0.1929,0.0373,0.0086,0.0016,0.0003,
S2 110-2,S,2,110,2,1.76,0,Z,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,5,Z,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,10,Z,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,15,A,94.63,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,15,D,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,15,D,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,15,D,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,15,D,,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 110-2,S,2,110,2,1.76,15,A,15.65,0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,0.0005,
S2 120-4,S,2,120,4,1.57,0,Z,,,,,,,,,
S2 120-4,S,2,120,4,1.57,5,Z,,,,,,,,,
S2 120-4,S,2,120,4,1.57,10,A,54.53,,,,,,,,
S2 120-4,S,2,120,4,1.57,10,D,,,,,,,,,
