uniqueid,streamside,streamdist,depth,mortality,sizemm,pc1,pc1new,gravel
S10 80-7,S,10,5,A,40.04,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,39.49,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,37.02,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,34.8,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,0,A,33.54,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,32.49,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,0,A,32.36,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,0,A,31.36,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,31.16,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,29.5,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,15,A,29.5,-0.935827001,1.993649639,0.7772
S10 80-7,S,10,5,A,27.17,-0.935827001,1.993649639,0.7772
S2 100-0,S,2,10,A,14.36,0.065716557,2.995193197,0.7593
S2 110-2,S,2,15,A,24.63,-0.419903088,2.509573552,0.7904
S2 110-2,S,2,15,A,15.65,-0.419903088,2.509573552,0.7904
S2 130-9,S,2,5,A,59.14,0.798312587,3.727789227,0.754
S2 130-9,S,2,5,A,47.75,0.798312587,3.727789227,0.754
S2 130-9,S,2,0,A,29.76,0.798312587,3.727789227,0.754
S2 60-9,S,2,15,A,32.76,-0.415845316,2.513631324,0.7188
S2 70-5,S,2,10,A,51.59,0.438740824,3.368217464,0.7542
S2 70-5,S,2,5,A,40.18,0.438740824,3.368217464,0.7542
S2 70-5,S,2,5,A,34.75,0.438740824,3.368217464,0.7542
S2 70-5,S,2,15,A,32.31,0.438740824,3.368217464,0.7542
S2 80-7,S,2,5,A,43.17,3.210792543,6.140269183,0.5986
S2 90-9,S,2,10,A,34.52,-1.323690655,1.605785985,0.8455
S5 110-0,S,5,10,A,38.38,3.57532408,6.50480072,0.6048
S5 110-0,S,5,10,A,19.22,3.57532408,6.50480072,0.6048
S5 120-6,S,5,5,A,61.79,0.577497508,3.506974148,0.7532
S5 130-0,S,5,15,A,64.79,1.967302087,4.896778727,0.6519
S5 130-0,S,5,10,A,45.87,1.967302087,4.896778727,0.6519
S5 40-6,S,5,10,A,29.55,0.226742958,3.156219598,0.7431
S5 40-6,S,5,10,A,24.65,0.226742958,3.156219598,0.7431
S5 70-0,S,5,10,A,27.5,-2.383725233,0.545751407,0.821
S5 80-0,S,5,15,A,50.83,-0.705075298,2.224401342,0.7568
