"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","DownStreamTotal","PC1","APresence","DPresence"
"S10 110-4","S",10,1.81,0,"Z",NA,114,1.19739323263789,0,0
"S10 110-4","S",10,1.81,5,"Z",NA,114,1.19739323263789,0,0
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,10,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,15,"D",NA,114,1.19739323263789,0,1
"S10 110-4","S",10,1.81,15,"D",NA,114,1.19739323263789,0,1
"C 110-1","C",0,1.7,0,"Z",NA,111,2.17137903595873,0,0
"C 110-1","C",0,1.7,5,"Z",NA,111,2.17137903595873,0,0
"C 110-1","C",0,1.7,10,"Z",NA,111,2.17137903595873,0,0
"C 110-1","C",0,1.7,15,"Z",NA,111,2.17137903595873,0,0
"N5 60-5","N",5,2.46,0,"Z",NA,65,-1.42844225504939,0,0
"N5 60-5","N",5,2.46,5,"Z",NA,65,-1.42844225504939,0,0
"N5 60-5","N",5,2.46,10,"Z",NA,65,-1.42844225504939,0,0
"N5 60-5","N",5,2.46,15,"Z",NA,65,-1.42844225504939,0,0
"S2 70-5","S",2,2.49,0,"Z",NA,75,0.438740823655617,0,0
"C 100-0","C",0,1.89,0,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,0,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,0,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,0,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,0,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,0,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,5,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,5,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,10,"D",NA,100,-2.05552797292785,0,1
"C 100-0","C",0,1.89,15,"Z",NA,100,-2.05552797292785,0,0
"S10 100-5","S",10,1.96,0,"Z",NA,105,-0.503019531818669,0,0
"S10 100-5","S",10,1.96,5,"Z",NA,105,-0.503019531818669,0,0
"S10 100-5","S",10,1.96,10,"D",NA,105,-0.503019531818669,0,1
"S10 100-5","S",10,1.96,10,"D",NA,105,-0.503019531818669,0,1
"S10 100-5","S",10,1.96,15,"D",NA,105,-0.503019531818669,0,1
"S10 100-5","S",10,1.96,15,"D",NA,105,-0.503019531818669,0,1
"S10 100-5","S",10,1.96,15,"D",NA,105,-0.503019531818669,0,1
"S10 100-5","S",10,1.96,15,"D",NA,105,-0.503019531818669,0,1
"N2 10-4","N",2,4.19,15,"Z",NA,14,NA,0,0
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,0,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,5,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,5,"D",NA,86,-1.52689593330818,0,1
"C 80-6","C",0,2.04,10,"Z",NA,86,-1.52689593330818,0,0
"C 80-6","C",0,2.04,15,"Z",NA,86,-1.52689593330818,0,0
"S2 100-0","S",2,1.94,0,"Z",NA,100,0.0657165572617544,0,0
"S2 100-0","S",2,1.94,5,"Z",NA,100,0.0657165572617544,0,0
"S2 100-0","S",2,1.94,10,"D",NA,100,0.0657165572617544,0,1
"S2 100-0","S",2,1.94,10,"D",NA,100,0.0657165572617544,0,1
"S2 100-0","S",2,1.94,15,"Z",NA,100,0.0657165572617544,0,0
"N5 110-3","N",5,1.74,0,"Z",NA,113,-0.558790964678979,0,0
"N5 110-3","N",5,1.74,5,"Z",NA,113,-0.558790964678979,0,0
"N5 110-3","N",5,1.74,10,"Z",NA,113,-0.558790964678979,0,0
"N5 110-3","N",5,1.74,15,"Z",NA,113,-0.558790964678979,0,0
"N10 120-0","N",10,1.57,0,"Z",NA,120,1.0625024453634,0,0
"N10 120-0","N",10,1.57,10,"Z",NA,120,1.0625024453634,0,0
"N10 120-0","N",10,1.57,15,"Z",NA,120,1.0625024453634,0,0
"N10 120-0","N",10,1.57,0,"Z",NA,120,1.0625024453634,0,0
"N10 120-0","N",10,1.57,5,"D",NA,120,1.0625024453634,0,1
"N10 120-0","N",10,1.57,5,"D",NA,120,1.0625024453634,0,1
"N10 120-0","N",10,1.57,5,"D",NA,120,1.0625024453634,0,1
"N10 120-0","N",10,1.57,10,"Z",NA,120,1.0625024453634,0,0
"N10 120-0","N",10,1.57,15,"Z",NA,120,1.0625024453634,0,0
"N2 100-4","N",2,2.05,0,"Z",NA,104,NA,0,0
"N2 100-4","N",2,2.05,5,"Z",NA,104,NA,0,0
"N2 100-4","N",2,2.05,10,"Z",NA,104,NA,0,0
"N2 100-4","N",2,2.05,15,"Z",NA,104,NA,0,0
"N5 40-2","N",5,3.18,0,"Z",NA,42,-1.41006578516501,0,0
"N5 40-2","N",5,3.18,5,"Z",NA,42,-1.41006578516501,0,0
"N5 40-2","N",5,3.18,10,"Z",NA,42,-1.41006578516501,0,0
"N5 40-2","N",5,3.18,15,"D",NA,42,-1.41006578516501,0,1
"N5 40-2","N",5,3.18,15,"D",NA,42,-1.41006578516501,0,1
"N5 0-3","N",5,4.32,0,"Z",NA,3,-0.835392283896209,0,0
"N5 0-3","N",5,4.32,5,"Z",NA,3,-0.835392283896209,0,0
"N5 0-3","N",5,4.32,10,"Z",NA,3,-0.835392283896209,0,0
"N5 0-3","N",5,4.32,15,"Z",NA,3,-0.835392283896209,0,0
"S5 110-0","S",5,1.98,0,"Z",NA,110,3.57532407996306,0,0
"S5 110-0","S",5,1.98,5,"Z",NA,110,3.57532407996306,0,0
"S5 110-0","S",5,1.98,15,"Z",NA,110,3.57532407996306,0,0
"S5 80-0","S",5,2.41,0,"D",NA,80,-0.705075298335113,0,1
"S5 80-0","S",5,2.41,0,"D",NA,80,-0.705075298335113,0,1
"S5 80-0","S",5,2.41,15,"D",NA,80,-0.705075298335113,0,1
"S5 80-0","S",5,2.41,15,"D",NA,80,-0.705075298335113,0,1
"S5 40-6","S",5,3.08,5,"Z",NA,46,0.22674295750356,0,0
"S5 40-6","S",5,3.08,15,"Z",NA,46,0.22674295750356,0,0
"S5 40-6","S",5,3.08,0,"D",NA,46,0.22674295750356,0,1
"S10 80-7","S",10,2.3,10,"Z",NA,87,-0.93582700115789,0,0
"C 70-7","C",0,2.16,0,"D",NA,77,-3.8511765128179,0,1
"C 70-7","C",0,2.16,0,"D",NA,77,-3.8511765128179,0,1
"C 70-7","C",0,2.16,0,"D",NA,77,-3.8511765128179,0,1
"C 70-7","C",0,2.16,5,"D",NA,77,-3.8511765128179,0,1
"C 70-7","C",0,2.16,5,"D",NA,77,-3.8511765128179,0,1
"C 70-7","C",0,2.16,10,"D",NA,77,-3.8511765128179,0,1
"C 70-7","C",0,2.16,15,"Z",NA,77,-3.8511765128179,0,0
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,0,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,5,"D",NA,77,1.58800306435711,0,1
"S10 70-7","S",10,2.35,5,"D",NA,77,1.58800306435711,0,1
"S10 120-7","S",10,2.14,0,"Z",NA,127,-1.3392567738074,0,0
"S10 120-7","S",10,2.14,5,"Z",NA,127,-1.3392567738074,0,0
"S10 120-7","S",10,2.14,10,"Z",NA,127,-1.3392567738074,0,0
"S10 120-7","S",10,2.14,15,"Z",NA,127,-1.3392567738074,0,0
"N5 70-5","N",5,2.4,0,"Z",NA,75,-0.906511174716753,0,0
"N5 70-5","N",5,2.4,5,"Z",NA,75,-0.906511174716753,0,0
"N5 70-5","N",5,2.4,10,"D",NA,75,-0.906511174716753,0,1
"N5 70-5","N",5,2.4,10,"D",NA,75,-0.906511174716753,0,1
"N5 70-5","N",5,2.4,10,"D",NA,75,-0.906511174716753,0,1
"N5 70-5","N",5,2.4,15,"D",NA,75,-0.906511174716753,0,1
"N5 70-5","N",5,2.4,15,"D",NA,75,-0.906511174716753,0,1
"N5 70-5","N",5,2.4,15,"D",NA,75,-0.906511174716753,0,1
"N10 40-6","N",10,2.94,0,"Z",NA,46,-1.47207115196788,0,0
"N10 40-6","N",10,2.94,15,"Z",NA,46,-1.47207115196788,0,0
"S5 120-6","S",5,1.53,0,"Z",NA,126,0.577497507970797,0,0
"S5 120-6","S",5,1.53,10,"Z",NA,126,0.577497507970797,0,0
"S5 120-6","S",5,1.53,15,"Z",NA,126,0.577497507970797,0,0
"S10 60-5","S",10,2.63,10,"Z",NA,65,1.00228662716535,0,0
"S10 60-5","S",10,2.63,0,"D",NA,65,1.00228662716535,0,1
"S10 60-5","S",10,2.63,5,"D",NA,65,1.00228662716535,0,1
"S10 60-5","S",10,2.63,5,"D",NA,65,1.00228662716535,0,1
"S10 60-5","S",10,2.63,15,"D",NA,65,1.00228662716535,0,1
"S10 60-5","S",10,2.63,15,"D",NA,65,1.00228662716535,0,1
"S10 60-5","S",10,2.63,15,"D",NA,65,1.00228662716535,0,1
"S2 130-9","S",2,1.5,0,"D",NA,139,0.798312586850766,0,1
"S2 130-9","S",2,1.5,0,"D",NA,139,0.798312586850766,0,1
"S2 130-9","S",2,1.5,0,"D",NA,139,0.798312586850766,0,1
"S2 130-9","S",2,1.5,0,"D",NA,139,0.798312586850766,0,1
"S2 130-9","S",2,1.5,5,"D",NA,139,0.798312586850766,0,1
"S2 130-9","S",2,1.5,5,"D",NA,139,0.798312586850766,0,1
"S2 130-9","S",2,1.5,10,"Z",NA,139,0.798312586850766,0,0
"S2 130-9","S",2,1.5,15,"Z",NA,139,0.798312586850766,0,0
"N2 90-0","N",2,2.13,0,"Z",NA,90,-2.04792250831147,0,0
"N2 90-0","N",2,2.13,5,"Z",NA,90,-2.04792250831147,0,0
"N2 90-0","N",2,2.13,15,"Z",NA,90,-2.04792250831147,0,0
"S5 100-1","S",5,2.17,0,"Z",NA,101,-0.860555140467081,0,0
"S5 100-1","S",5,2.17,5,"Z",NA,101,-0.860555140467081,0,0
"S5 100-1","S",5,2.17,10,"D",NA,101,-0.860555140467081,0,1
"S5 100-1","S",5,2.17,10,"D",NA,101,-0.860555140467081,0,1
"S5 100-1","S",5,2.17,15,"Z",NA,101,-0.860555140467081,0,0
"N2 120-4","N",2,1.66,0,"Z",NA,124,-3.41130032263218,0,0
"N2 120-4","N",2,1.66,10,"Z",NA,124,-3.41130032263218,0,0
"N2 120-4","N",2,1.66,5,"D",NA,124,-3.41130032263218,0,1
"N2 120-4","N",2,1.66,15,"D",NA,124,-3.41130032263218,0,1
"N10 70-5","N",10,2.33,0,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,0,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,0,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,5,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,5,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,5,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,10,"D",NA,75,-0.377724440271887,0,1
"N10 70-5","N",10,2.33,15,"Z",NA,75,-0.377724440271887,0,0
"S5 90-0","S",5,2.26,0,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,0,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,5,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,5,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,10,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,10,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,10,"D",NA,90,-1.13801628031234,0,1
"S5 90-0","S",5,2.26,10,"D",NA,90,-1.13801628031234,0,1
"N5 140-3","N",5,1.29,0,"Z",NA,143,-0.428395598055115,0,0
"N5 140-3","N",5,1.29,5,"Z",NA,143,-0.428395598055115,0,0
"N5 140-3","N",5,1.29,10,"Z",NA,143,-0.428395598055115,0,0
"N5 140-3","N",5,1.29,15,"Z",NA,143,-0.428395598055115,0,0
"N5 10-4","N",5,4.63,0,"Z",NA,14,0.925630416475435,0,0
"N5 10-4","N",5,4.63,5,"Z",NA,14,0.925630416475435,0,0
"N5 10-4","N",5,4.63,10,"Z",NA,14,0.925630416475435,0,0
"N5 10-4","N",5,4.63,15,"Z",NA,14,0.925630416475435,0,0
"N2 110-9","N",2,1.62,0,"Z",NA,119,-2.27917570891843,0,0
"N2 110-9","N",2,1.62,5,"Z",NA,119,-2.27917570891843,0,0
"N2 110-9","N",2,1.62,10,"Z",NA,119,-2.27917570891843,0,0
"N2 110-9","N",2,1.62,15,"Z",NA,119,-2.27917570891843,0,0
"N10 90-5","N",10,1.78,0,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,5,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,5,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,5,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,5,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,10,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,10,"D",NA,95,-0.159998854402196,0,1
"N10 90-5","N",10,1.78,15,"Z",NA,95,-0.159998854402196,0,0
"N10 30-1","N",10,3.54,0,"Z",NA,31,-2.10143897216904,0,0
"N10 30-1","N",10,3.54,5,"Z",NA,31,-2.10143897216904,0,0
"N10 30-1","N",10,3.54,10,"Z",NA,31,-2.10143897216904,0,0
"N10 30-1","N",10,3.54,15,"Z",NA,31,-2.10143897216904,0,0
"N5 130-2","N",5,1.42,0,"Z",NA,132,0.204432341904567,0,0
"N5 130-2","N",5,1.42,5,"Z",NA,132,0.204432341904567,0,0
"N5 130-2","N",5,1.42,10,"Z",NA,132,0.204432341904567,0,0
"S2 50-5","S",2,2.87,0,"Z",NA,55,-1.66221709200294,0,0
"S2 50-5","S",2,2.87,5,"Z",NA,55,-1.66221709200294,0,0
"S2 50-5","S",2,2.87,10,"Z",NA,55,-1.66221709200294,0,0
"S2 50-5","S",2,2.87,15,"Z",NA,55,-1.66221709200294,0,0
"S2 20-7","S",2,3.5,0,"Z",NA,27,-0.72418593101555,0,0
"S2 20-7","S",2,3.5,5,"Z",NA,27,-0.72418593101555,0,0
"S2 20-7","S",2,3.5,10,"Z",NA,27,-0.72418593101555,0,0
"S2 20-7","S",2,3.5,15,"Z",NA,27,-0.72418593101555,0,0
"N5 30-3","N",5,3.43,0,"Z",NA,33,NA,0,0
"S5 130-0","S",5,1.63,0,"Z",NA,130,1.96730208656077,0,0
"S5 130-0","S",5,1.63,5,"Z",NA,130,1.96730208656077,0,0
"N10 60-4","N",10,2.39,0,"Z",NA,64,NA,0,0
"N10 60-4","N",10,2.39,5,"Z",NA,64,NA,0,0
"N10 60-4","N",10,2.39,10,"Z",NA,64,NA,0,0
"N10 60-4","N",10,2.39,15,"Z",NA,64,NA,0,0
"S10 90-7","S",10,2.18,0,"Z",NA,97,-1.63753442707636,0,0
"S10 90-7","S",10,2.18,5,"Z",NA,97,-1.63753442707636,0,0
"S10 90-7","S",10,2.18,10,"Z",NA,97,-1.63753442707636,0,0
"S10 90-7","S",10,2.18,15,"D",NA,97,-1.63753442707636,0,1
"N5 90-3","N",5,2.14,0,"Z",NA,93,-2.91947664030391,0,0
"N5 90-3","N",5,2.14,5,"Z",NA,93,-2.91947664030391,0,0
"N5 90-3","N",5,2.14,10,"D",NA,93,-2.91947664030391,0,1
"N5 90-3","N",5,2.14,10,"D",NA,93,-2.91947664030391,0,1
"N5 90-3","N",5,2.14,15,"D",NA,93,-2.91947664030391,0,1
"N2 0-9","N",2,4.31,0,"Z",NA,9,NA,0,0
"N2 0-9","N",2,4.31,5,"Z",NA,9,NA,0,0
"N2 0-9","N",2,4.31,10,"Z",NA,9,NA,0,0
"N2 0-9","N",2,4.31,15,"Z",NA,9,NA,0,0
"N2 0-9","N",2,4.31,0,"Z",NA,9,NA,0,0
"N2 0-9","N",2,4.31,5,"Z",NA,9,NA,0,0
"N2 0-9","N",2,4.31,10,"Z",NA,9,NA,0,0
"N5 100-7","N",5,2.09,0,"Z",NA,107,NA,0,0
"N5 100-7","N",5,2.09,5,"Z",NA,107,NA,0,0
"N5 100-7","N",5,2.09,10,"Z",NA,107,NA,0,0
"N5 100-7","N",5,2.09,15,"Z",NA,107,NA,0,0
"N2 20-4","N",2,NA,0,"Z",NA,24,NA,0,0
"N2 20-4","N",2,NA,5,"Z",NA,24,NA,0,0
"N2 20-4","N",2,NA,10,"Z",NA,24,NA,0,0
"N2 20-4","N",2,NA,15,"Z",NA,24,NA,0,0
"S2 120-4","S",2,1.57,0,"Z",NA,124,NA,0,0
"S2 120-4","S",2,1.57,5,"Z",NA,124,NA,0,0
"S2 120-4","S",2,1.57,10,"D",NA,124,NA,0,1
"S2 120-4","S",2,1.57,10,"D",NA,124,NA,0,1
"S2 120-4","S",2,1.57,10,"D",NA,124,NA,0,1
"S2 120-4","S",2,1.57,10,"D",NA,124,NA,0,1
"S 2 140-2","S",2,1.42,0,"Z",NA,142,NA,0,0
"S 2 140-2","S",2,1.42,10,"Z",NA,142,NA,0,0
"S 2 140-2","S",2,1.42,15,"Z",NA,142,NA,0,0
"S5 50-4","S",5,2.95,0,"Z",NA,54,NA,0,0
"S5 50-4","S",5,2.95,5,"Z",NA,54,NA,0,0
"S5 50-4","S",5,2.95,10,"Z",NA,54,NA,0,0
"S5 50-4","S",5,2.95,15,"Z",NA,54,NA,0,0
"S10 30-0","S",10,3.81,0,"Z",NA,30,NA,0,0
"S10 30-0","S",10,3.81,5,"Z",NA,30,NA,0,0
"S10 30-0","S",10,3.81,10,"Z",NA,30,NA,0,0
"S10 30-0","S",10,3.81,15,"Z",NA,30,NA,0,0
"N2 70-0","N",2,2.62,0,"Z",NA,70,NA,0,0
"N2 70-0","N",2,2.62,5,"Z",NA,70,NA,0,0
"N2 70-0","N",2,2.62,10,"Z",NA,70,NA,0,0
"N2 70-0","N",2,2.62,15,"Z",NA,70,NA,0,0
"N 2 140-7","N",2,1.48,0,"Z",NA,147,NA,0,0
"N 2 140-7","N",2,1.48,5,"Z",NA,147,NA,0,0
"N 2 140-7","N",2,1.48,10,"Z",NA,147,NA,0,0
"N 2 140-7","N",2,1.48,15,"Z",NA,147,NA,0,0
"N10 100-7","N",10,1.79,0,"Z",NA,107,NA,0,0
"N10 100-7","N",10,1.79,15,"Z",NA,107,NA,0,0
