"Sediment4000","Sediment2000","Sediment500","Sediment250","Sediment125","Sediment63","Sediment0","observations","normSediment4000","normSediment2000","normSediment500","normSediment250","normSediment125","normSediment63","normSediment0","PC1"
0.6072,0.1832,0.1718,0.0301,0.0061,0.0012,5e-04,1,0.133468278045006,0.0147998271061712,-0.134174098327692,-0.135957357107354,-0.130594785180437,0.0663562896138023,0.275748799069172,-0.419903088335641
0.3742,0.2777,0.2846,0.0492,0.0112,0.0022,8e-04,2,-0.350599534196425,0.430762769178895,0.370579577777905,0.355411094636079,0.477030221941347,0.672492093184118,0.745752428314907,1.96730208656077
0.5246,0.2286,0.2017,0.0273,0.0152,0.0023,4e-04,3,-0.0127538806036406,0.236195126226852,0.0262763370823187,-0.23359582667127,0.782411871492528,0.716943855754952,0.052605247754962,0.577497507970797
0.5225,0.2315,0.1932,0.0331,0.017,0.0021,6e-04,4,-0.0167649641974479,0.24880124839243,-0.0167791860994296,-0.0409492464791667,0.894329787696514,0.625972077549225,0.458070355863126,0.798312586850766
0.5557,0.1105,0.2339,0.0789,0.0164,0.0033,0.0014,5,0.0448386322494618,-0.490763104176051,0.174388565712286,0.827698698989645,0.858397778470451,1.07795720129228,1.30536821625033,2.04780033277511
0.6386,0.193,0.1523,0.013,0.0023,5e-04,4e-04,8,0.183888332244268,0.0669115637710268,-0.254652847976731,-0.975533171400647,-1.1059744334246,-0.809112447740097,0.052605247754962,-2.05552797292785
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,9,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.5613,0.1929,0.19,0.0449,0.0052,0.0055,3e-04,10,0.0548655739117399,0.0663932947778245,-0.0334810357173612,0.263955265886025,-0.290224930772321,1.58878282505827,-0.235076824696819,0.438740823655617
0.5476,0.2092,0.1996,0.0355,0.0074,4e-04,2e-04,11,0.0301551453778799,0.147512107056909,0.0158102559995162,0.0290501676191861,0.0625964438504218,-1.03225599905431,-0.640541932804983,-0.705075298335113
0.5476,0.2092,0.1996,0.0355,0.0074,4e-04,2e-04,12,0.0301551453778799,0.147512107056909,0.0158102559995162,0.0290501676191861,0.0625964438504218,-1.03225599905431,-0.640541932804983,-0.705075298335113
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,13,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.6178,0.1949,0.1552,0.0231,0.0068,0.0018,5e-04,15,0.150774832448067,0.0767079813796563,-0.235790500128729,-0.400649911334436,-0.0219609441776412,0.471821397721967,0.275748799069172,-0.503019531818669
0.5092,0.2482,0.2093,0.0288,0.0039,5e-04,1e-04,16,-0.0425490813531624,0.318456247636648,0.0632635215741068,-0.180107141720284,-0.577907003224102,-0.809112447740097,-1.33368911336493,-1.13801628031234
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,17,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.5724,0.289,0.1289,0.0079,0.001,4e-04,4e-04,18,0.074448099645882,0.470648062978573,-0.421468197932706,-1.47361976938921,-1.9388835563597,-1.03225599905431,0.052605247754962,-2.91947664030391
0.4377,0.2694,0.2496,0.0348,0.0068,0.0016,1e-04,19,-0.193856203839564,0.400418638842405,0.239354528617425,0.00913485791824462,-0.0219609441776412,0.354038362065583,-1.33368911336493,0.204432341904567
0.5225,0.2315,0.1932,0.0331,0.017,0.0021,6e-04,20,-0.0167649641974479,0.24880124839243,-0.0167791860994296,-0.0409492464791667,0.894329787696514,0.625972077549225,0.458070355863126,0.798312586850766
0.6178,0.1949,0.1552,0.0231,0.0068,0.0018,5e-04,21,0.150774832448067,0.0767079813796563,-0.235790500128729,-0.400649911334436,-0.0219609441776412,0.471821397721967,0.275748799069172,-0.503019531818669
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,22,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.5443,0.1994,0.2054,0.0366,0.0098,0.0033,0.0012,24,0.0241106174037405,0.0995342323938791,0.0444541896166104,0.0595657115451367,0.343498829316824,1.07795720129228,1.15121753642307,1.0625024453634
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,25,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,26,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,27,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.3742,0.2777,0.2846,0.0492,0.0112,0.0022,8e-04,28,-0.350599534196425,0.430762769178895,0.370579577777905,0.355411094636079,0.477030221941347,0.672492093184118,0.745752428314907,1.96730208656077
0.463,0.2288,0.2578,0.0401,0.0078,0.002,5e-04,29,-0.13766289395018,0.237069634371784,0.27167898262724,0.150893805450339,0.115240177335844,0.577181913379793,0.275748799069172,1.00228662716535
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,30,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,31,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.5092,0.2482,0.2093,0.0288,0.0039,5e-04,1e-04,32,-0.0425490813531624,0.318456247636648,0.0632635215741068,-0.180107141720284,-0.577907003224102,-0.809112447740097,-1.33368911336493,-1.13801628031234
0.5476,0.2092,0.1996,0.0355,0.0074,4e-04,2e-04,33,0.0301551453778799,0.147512107056909,0.0158102559995162,0.0290501676191861,0.0625964438504218,-1.03225599905431,-0.640541932804983,-0.705075298335113
0.3502,0.2156,0.3403,0.0831,0.0098,7e-04,2e-04,34,-0.416885528184662,0.177646213900983,0.549322473629013,0.879562172999219,0.343498829316824,-0.472640211118885,-0.640541932804983,1.58800306435711
0.3502,0.2156,0.3403,0.0831,0.0098,7e-04,2e-04,35,-0.416885528184662,0.177646213900983,0.549322473629013,0.879562172999219,0.343498829316824,-0.472640211118885,-0.640541932804983,1.58800306435711
0.5092,0.2482,0.2093,0.0288,0.0039,5e-04,1e-04,36,-0.0425490813531624,0.318456247636648,0.0632635215741068,-0.180107141720284,-0.577907003224102,-0.809112447740097,-1.33368911336493,-1.13801628031234
0.5092,0.2482,0.2093,0.0288,0.0039,5e-04,1e-04,37,-0.0425490813531624,0.318456247636648,0.0632635215741068,-0.180107141720284,-0.577907003224102,-0.809112447740097,-1.33368911336493,-1.13801628031234
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,38,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.6178,0.1949,0.1552,0.0231,0.0068,0.0018,5e-04,39,0.150774832448067,0.0767079813796563,-0.235790500128729,-0.400649911334436,-0.0219609441776412,0.471821397721967,0.275748799069172,-0.503019531818669
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,40,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.4341,0.1645,0.2825,0.0835,0.0289,0.0046,0.002,41,-0.202115025730866,-0.0928680549284321,0.363173442708648,0.884364102994626,1.42495803875868,1.4100910363149,1.66204316018906,3.21079254261221
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,42,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.5443,0.1994,0.2054,0.0366,0.0098,0.0033,0.0012,43,0.0241106174037405,0.0995342323938791,0.0444541896166104,0.0595657115451367,0.343498829316824,1.07795720129228,1.15121753642307,1.0625024453634
0.4377,0.2694,0.2496,0.0348,0.0068,0.0016,1e-04,44,-0.193856203839564,0.400418638842405,0.239354528617425,0.00913485791824462,-0.0219609441776412,0.354038362065583,-1.33368911336493,0.204432341904567
0.6178,0.1949,0.1552,0.0231,0.0068,0.0018,5e-04,45,0.150774832448067,0.0767079813796563,-0.235790500128729,-0.400649911334436,-0.0219609441776412,0.471821397721967,0.275748799069172,-0.503019531818669
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,46,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,47,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.3502,0.2156,0.3403,0.0831,0.0098,7e-04,2e-04,48,-0.416885528184662,0.177646213900983,0.549322473629013,0.879562172999219,0.343498829316824,-0.472640211118885,-0.640541932804983,1.58800306435711
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,49,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.532,0.1879,0.2017,0.0599,0.0154,0.0024,6e-04,50,0.00125354130523066,0.0401312812855609,0.0262763370823187,0.55219397625922,0.795483953059881,0.759503470173748,0.458070355863126,1.19739323263789
0.5092,0.2482,0.2093,0.0288,0.0039,5e-04,1e-04,51,-0.0425490813531624,0.318456247636648,0.0632635215741068,-0.180107141720284,-0.577907003224102,-0.809112447740097,-1.33368911336493,-1.13801628031234
0.3502,0.2156,0.3403,0.0831,0.0098,7e-04,2e-04,52,-0.416885528184662,0.177646213900983,0.549322473629013,0.879562172999219,0.343498829316824,-0.472640211118885,-0.640541932804983,1.58800306435711
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,53,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
