"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"39","S10 100-5","S",10,1.96,15,"A",43.69,0.116286674365067,-0.27695572617199,0.275748799069172,-0.503019531818669,0.8127,105,1,0
"40","N10 50-3","N",10,2.65,5,"A",43.4,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"41","S2 80-7","S",2,2.13,5,"A",43.17,-0.189481767975494,0.482684324572822,1.66204316018906,3.21079254261221,0.5986,87,1,0
"42","N10 50-3","N",10,2.65,0,"A",43.03,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"43","N10 120-0","N",10,1.57,5,"A",42.91,0.0275623643151622,0.0341261845142585,1.15121753642307,1.0625024453634,0.7437,120,1,0
"44","N5 130-2","N",5,1.42,15,"A",42.91,-0.0229032647838973,0.171960341453649,-1.33368911336493,0.204432341904567,0.7071,132,1,0
"45","S10 100-5","S",10,1.96,10,"A",42.78,0.116286674365067,-0.27695572617199,0.275748799069172,-0.503019531818669,0.8127,105,1,0
"46","S10 80-7","S",10,2.3,5,"A",42.67,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"47","N10 50-3","N",10,2.65,5,"A",42.61,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"48","S10 70-7","S",10,2.35,10,"A",42.31,-0.245834704526625,0.565284652170798,-0.640541932804983,1.58800306435711,0.5658,77,1,0
"49","N10 50-3","N",10,2.65,5,"A",41.98,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"50","S10 110-4","S",10,1.81,15,"A",41.86,-0.00496304991883516,0.125115006189355,0.458070355863126,1.19739323263789,0.7199,114,1,0
"51","S5 90-0","S",5,2.26,15,"A",41.63,0.0458161520736022,-0.0165277302559692,-1.33368911336493,-1.13801628031234,0.7574,90,1,0
"52","S10 70-7","S",10,2.35,5,"A",41.62,-0.245834704526625,0.565284652170798,-0.640541932804983,1.58800306435711,0.5658,77,1,0
"53","N10 50-3","N",10,2.65,0,"A",41.2,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
